Year,State,County,Commodity,Data Item,Value
2015,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,400"
2014,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"23,000"
2013,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,200"
2012,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"27,000"
2011,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"22,300"
2010,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"25,700"
2009,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"22,300"
2008,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,800"
2007,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"27,000"
2006,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,100"
2005,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"25,000"
2016,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,800"
2015,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,800"
2014,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,700"
2013,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,700"
2012,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,800"
2011,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,800"
2010,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,700"
2009,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,500"
2008,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","12,700"
2007,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,100"
2006,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","10,100"
2005,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,300"
2015,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"139,500"
2014,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"142,000"
2013,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"148,000"
2012,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"152,500"
2011,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"134,500"
2010,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"137,500"
2009,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"138,200"
2008,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"131,000"
2007,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"143,000"
2006,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"127,000"
2005,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"127,000"
2014,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,900"
2013,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,000"
2012,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,000"
2010,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,900"
2009,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,500"
2008,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,300"
2007,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"5,700"
2006,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,200"
2005,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"5,500"
2015,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","5,900"
2012,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","5,900"
2010,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","10,300"
2009,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","15,500"
2007,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","9,400"
2006,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","13,200"
2005,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","13,800"
2015,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",500
2014,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2011,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",800
2009,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,100"
2007,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,000"
2006,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,500"
2005,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,500"
2015,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"33,400"
2014,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,300"
2013,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,000"
2012,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,300"
2011,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"30,000"
2010,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"24,500"
2009,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"31,000"
2008,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"19,500"
2007,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"26,300"
2006,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"19,700"
2005,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"22,400"
2016,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","20,100"
2015,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","16,500"
2014,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","23,800"
2013,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","19,500"
2012,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","17,500"
2011,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,500"
2010,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,900"
2009,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","13,200"
2008,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","15,000"
2007,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,500"
2006,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","10,200"
2005,KENTUCKY,CALDWELL,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,700"
2015,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"283,000"
2014,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"279,000"
2013,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"291,000"
2012,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"292,500"
2011,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"306,500"
2010,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"292,000"
2009,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"305,000"
2008,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"285,000"
2007,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"319,000"
2006,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"280,000"
2005,ILLINOIS,CHAMPAIGN,CORN,CORN - ACRES PLANTED,"292,000"
2016,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2015,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,700"
2014,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,500"
2009,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,800"
2007,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,200"
2006,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,800"
2005,ILLINOIS,CHAMPAIGN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,900"
2015,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"89,000"
2014,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"94,200"
2013,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"83,500"
2012,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"92,200"
2011,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"88,100"
2010,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"86,000"
2009,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"83,000"
2008,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"91,100"
2007,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"103,500"
2006,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"89,400"
2005,MINNESOTA,DAKOTA,CORN,CORN - ACRES PLANTED,"91,000"
2016,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,900
2015,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"1,300"
2013,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"2,000"
2008,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"1,100"
2007,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"1,700"
2006,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"1,400"
2005,MINNESOTA,DAKOTA,OATS,OATS - ACRES PLANTED,"1,900"
2015,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"222,500"
2014,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"222,500"
2013,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"240,000"
2012,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"233,500"
2011,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"245,000"
2010,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"229,000"
2009,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"228,000"
2008,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"233,000"
2007,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"248,000"
2006,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"211,000"
2005,ILLINOIS,DE KALB,CORN,CORN - ACRES PLANTED,"217,000"
2016,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"3,400"
2014,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"2,000"
2012,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,900
2011,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"1,000"
2010,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"1,900"
2007,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"1,400"
2006,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"2,300"
2005,ILLINOIS,DE KALB,OATS,OATS - ACRES PLANTED,"2,500"
2016,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,500"
2015,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,500"
2014,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,800"
2013,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,300"
2012,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,400"
2011,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,700"
2010,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,600"
2009,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,400"
2008,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,600"
2007,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,700"
2006,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,100"
2005,ILLINOIS,DE KALB,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,500"
2008,WISCONSIN,EAU CLAIRE,BARLEY,BARLEY - ACRES PLANTED,600
2015,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"47,900"
2014,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"48,200"
2013,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"44,000"
2012,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"49,500"
2011,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"46,000"
2010,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"41,500"
2009,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"43,000"
2008,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"43,500"
2007,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"45,000"
2006,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"40,000"
2005,WISCONSIN,EAU CLAIRE,CORN,CORN - ACRES PLANTED,"41,500"
2016,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"2,800"
2015,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"4,100"
2014,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"5,400"
2012,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"2,800"
2010,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"5,500"
2009,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"5,400"
2007,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"5,600"
2006,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"6,100"
2005,WISCONSIN,EAU CLAIRE,OATS,OATS - ACRES PLANTED,"6,900"
2014,WISCONSIN,EAU CLAIRE,WHEAT,"WHEAT, WINTER - ACRES PLANTED",700
2013,WISCONSIN,EAU CLAIRE,WHEAT,"WHEAT, WINTER - ACRES PLANTED",500
2015,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"114,000"
2015,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"3,100"
2014,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"121,500"
2014,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,900"
2013,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"109,000"
2013,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"4,300"
2012,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"133,000"
2012,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"4,700"
2011,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"115,500"
2011,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"3,900"
2010,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"133,000"
2010,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,300"
2009,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"81,000"
2009,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,200"
2008,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"100,000"
2008,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,900"
2007,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"119,000"
2007,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"3,600"
2006,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"105,000"
2006,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,100"
2005,ILLINOIS,FAYETTE,CORN,CORN - ACRES PLANTED,"115,000"
2005,KENTUCKY,FAYETTE,CORN,CORN - ACRES PLANTED,"2,650"
2016,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED",900
2015,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,100"
2013,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,300"
2012,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,100"
2011,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,100"
2010,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,000"
2009,ILLINOIS,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","22,800"
2009,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2008,ILLINOIS,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","30,500"
2008,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,400"
2007,ILLINOIS,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","26,000"
2006,ILLINOIS,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","22,100"
2006,KENTUCKY,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,300"
2005,ILLINOIS,FAYETTE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","18,300"
2015,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"139,500"
2014,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"150,000"
2013,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"128,500"
2012,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"152,000"
2011,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"150,500"
2010,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"148,000"
2009,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"145,500"
2008,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"147,000"
2007,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"160,500"
2006,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"137,000"
2005,IOWA,FLOYD,CORN,CORN - ACRES PLANTED,"140,000"
2014,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,"1,000"
2011,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,600
2010,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,"1,000"
2009,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,"1,400"
2008,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,900
2007,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,900
2006,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,"1,200"
2005,IOWA,FLOYD,OATS,OATS - ACRES PLANTED,"1,400"
2008,WISCONSIN,GRANT,BARLEY,BARLEY - ACRES PLANTED,700
2006,WISCONSIN,GRANT,BARLEY,BARLEY - ACRES PLANTED,"1,100"
2005,WISCONSIN,GRANT,BARLEY,BARLEY - ACRES PLANTED,"1,100"
2015,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"167,000"
2014,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"166,000"
2013,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"174,000"
2012,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"182,000"
2011,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"176,000"
2010,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"159,000"
2009,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"161,000"
2008,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"157,000"
2007,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"159,000"
2006,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"143,000"
2005,WISCONSIN,GRANT,CORN,CORN - ACRES PLANTED,"149,000"
2016,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"13,400"
2015,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"14,300"
2014,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"14,500"
2013,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"16,500"
2012,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"13,300"
2011,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"12,500"
2010,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"18,300"
2009,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"19,000"
2008,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"17,200"
2007,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"13,700"
2006,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"18,100"
2005,WISCONSIN,GRANT,OATS,OATS - ACRES PLANTED,"18,400"
2014,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,000"
2013,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,200"
2012,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,800"
2011,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2010,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,700"
2009,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2007,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,600"
2006,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,700"
2005,WISCONSIN,GRANT,WHEAT,"WHEAT, WINTER - ACRES PLANTED",700
2015,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"106,000"
2014,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"105,000"
2013,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"112,000"
2012,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"114,500"
2011,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"118,000"
2010,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"111,000"
2009,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"112,000"
2008,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"124,000"
2007,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"130,000"
2006,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"111,000"
2005,ILLINOIS,GRUNDY,CORN,CORN - ACRES PLANTED,"117,000"
2015,ILLINOIS,GRUNDY,WHEAT,"WHEAT, WINTER - ACRES PLANTED",600
2014,ILLINOIS,GRUNDY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,400"
2009,ILLINOIS,GRUNDY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,100"
2008,ILLINOIS,GRUNDY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2007,ILLINOIS,GRUNDY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,500"
2015,MICHIGAN,INGHAM,CORN,CORN - ACRES PLANTED,"52,000"
2014,MICHIGAN,INGHAM,CORN,CORN - ACRES PLANTED,"57,000"
