Year,State,County,Commodity,Data Item,Value
2010,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,100"
2009,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,000"
2008,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,400"
2007,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,200"
2006,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,500"
2005,INDIANA,PORTER,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,700"
2015,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"98,000"
2014,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"100,000"
2013,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"103,000"
2012,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"106,000"
2011,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"95,500"
2010,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"96,500"
2009,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"91,000"
2008,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"89,700"
2007,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"101,700"
2006,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"88,300"
2005,INDIANA,RANDOLPH,CORN,CORN - ACRES PLANTED,"90,200"
2016,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,300"
2015,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,800"
2014,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,600"
2011,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,900"
2010,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,400"
2009,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,200"
2008,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","10,600"
2007,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,000"
2006,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,100"
2005,INDIANA,RANDOLPH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,400"
2015,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"234,000"
2014,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"245,500"
2013,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"256,000"
2012,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"251,000"
2011,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"239,500"
2010,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"236,000"
2009,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"239,500"
2008,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"229,000"
2007,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"250,000"
2006,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"236,900"
2005,MINNESOTA,REDWOOD,CORN,CORN - ACRES PLANTED,"240,000"
2013,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,"1,000"
2011,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,500
2010,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,900
2007,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,"1,300"
2006,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,"1,200"
2005,MINNESOTA,REDWOOD,OATS,OATS - ACRES PLANTED,"1,300"
2016,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,300"
2015,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,500"
2014,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",900
2013,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,000"
2012,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,400"
2011,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,500"
2007,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","2,100"
2006,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","2,800"
2005,MINNESOTA,REDWOOD,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","3,400"
2015,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"12,400"
2013,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"16,300"
2012,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"16,000"
2011,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"18,000"
2010,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"16,500"
2009,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"14,000"
2006,KANSAS,RILEY,CORN,CORN - ACRES PLANTED,"10,900"
2016,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","12,800"
2014,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","18,000"
2013,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","20,000"
2012,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","20,000"
2011,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","19,000"
2010,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","17,300"
2009,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","21,000"
2008,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","23,400"
2007,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","28,200"
2006,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","25,000"
2005,KANSAS,RILEY,WHEAT,"WHEAT, WINTER - ACRES PLANTED","25,700"
2015,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"90,000"
2014,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"97,000"
2013,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"103,000"
2012,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"105,000"
2011,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"97,000"
2010,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"98,000"
2009,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"94,000"
2008,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"97,000"
2007,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"111,000"
2006,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"89,000"
2005,MICHIGAN,SAGINAW,CORN,CORN - ACRES PLANTED,"93,000"
2016,MICHIGAN,SAGINAW,OATS,OATS - ACRES PLANTED,700
2006,MICHIGAN,SAGINAW,OATS,OATS - ACRES PLANTED,"1,200"
2005,MICHIGAN,SAGINAW,OATS,OATS - ACRES PLANTED,"1,000"
2016,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","20,500"
2015,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","17,000"
2014,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","22,300"
2013,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","22,600"
2012,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","23,000"
2011,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","29,000"
2010,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","22,200"
2009,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","27,800"
2008,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","32,400"
2007,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","27,100"
2006,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","31,000"
2005,MICHIGAN,SAGINAW,WHEAT,"WHEAT, WINTER - ACRES PLANTED","25,800"
2015,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"180,000"
2014,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"181,000"
2013,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"178,500"
2012,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"183,000"
2011,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"181,500"
2010,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"175,000"
2009,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"172,000"
2008,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"166,000"
2007,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"180,000"
2006,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"153,000"
2005,ILLINOIS,STEPHENSON,CORN,CORN - ACRES PLANTED,"158,000"
2016,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"2,900"
2014,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"2,700"
2013,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"4,000"
2010,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"4,200"
2007,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"2,300"
2006,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"4,300"
2005,ILLINOIS,STEPHENSON,OATS,OATS - ACRES PLANTED,"5,000"
2016,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,600"
2015,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,200"
2014,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,700"
2013,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,800"
2012,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,900"
2011,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,600"
2010,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2009,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,400"
2008,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,200"
2007,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,100"
2006,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,600"
2005,ILLINOIS,STEPHENSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,000"
2015,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"147,000"
2014,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"149,000"
2013,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"159,500"
2012,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"150,000"
2011,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"133,000"
2010,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"137,000"
2009,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"140,000"
2008,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"152,500"
2007,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"168,000"
2006,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"147,500"
2005,MINNESOTA,STEVENS,CORN,CORN - ACRES PLANTED,"142,000"
2016,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","9,000"
2015,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","9,300"
2014,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","7,300"
2013,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","6,500"
2012,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","9,400"
2011,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","11,300"
2010,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","15,600"
2009,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","16,800"
2007,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","16,200"
2006,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","17,300"
2005,MINNESOTA,STEVENS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","20,600"
2015,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"96,000"
2014,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"104,000"
2013,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"102,000"
2012,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"109,500"
2011,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"102,500"
2010,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"106,000"
2009,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"97,000"
2008,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"98,500"
2007,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"110,000"
2006,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"98,900"
2005,INDIANA,TIPPECANOE,CORN,CORN - ACRES PLANTED,"104,200"
2016,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,900"
2015,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,500"
2014,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,700"
2013,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,800"
2012,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,900"
2011,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,000"
2010,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,800"
2009,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,100"
2008,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,100"
2007,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,900"
2006,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,800"
2005,INDIANA,TIPPECANOE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,900"
2015,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"104,000"
2014,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"108,500"
2013,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"109,000"
2012,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"112,000"
2011,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"111,000"
2010,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"109,000"
2009,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"105,000"
2008,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"103,000"
2007,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"111,000"
2006,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"95,500"
2005,WISCONSIN,WALWORTH,CORN,CORN - ACRES PLANTED,"103,000"
2015,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,900
2013,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,"1,500"
2010,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,"1,900"
2007,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,"1,100"
2006,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,"2,500"
2005,WISCONSIN,WALWORTH,OATS,OATS - ACRES PLANTED,"2,200"
2015,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,700"
2014,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,400"
2013,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,400"
2012,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,100"
2011,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","12,200"
2010,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,900"
2009,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,400"
2007,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","10,300"
2006,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,300"
2005,WISCONSIN,WALWORTH,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,000"
2015,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"158,000"
2014,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"156,500"
2013,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"157,500"
2012,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"176,000"
2011,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"175,000"
2010,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"172,000"
2009,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"166,000"
2008,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"168,000"
2007,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"169,000"
2006,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"144,000"
2005,ILLINOIS,WARREN,CORN,CORN - ACRES PLANTED,"152,000"
2014,ILLINOIS,WARREN,OATS,OATS - ACRES PLANTED,500
2015,ILLINOIS,WARREN,WHEAT,"WHEAT, WINTER - ACRES PLANTED",900
2013,ILLINOIS,WARREN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2007,ILLINOIS,WARREN,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2015,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"33,300"
2014,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"34,900"
2013,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"37,700"
2012,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"38,700"
2011,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"36,000"
2010,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"33,000"
2009,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"22,500"
2008,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"23,000"
2007,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"31,500"
2006,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"30,000"
2005,WISCONSIN,WAUSHARA,CORN,CORN - ACRES PLANTED,"29,900"
2016,WISCONSIN,WAUSHARA,OATS,OATS - ACRES PLANTED,"1,500"
2015,WISCONSIN,WAUSHARA,OATS,OATS - ACRES PLANTED,"1,200"
2010,WISCONSIN,WAUSHARA,OATS,OATS - ACRES PLANTED,"1,500"
2006,WISCONSIN,WAUSHARA,OATS,OATS - ACRES PLANTED,"2,300"
2005,WISCONSIN,WAUSHARA,OATS,OATS - ACRES PLANTED,"2,100"
2016,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,800"
2015,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2014,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,600"
2012,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,400"
2011,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2010,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,300"
2007,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,400"
2005,WISCONSIN,WAUSHARA,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,300"
2015,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,500
2013,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,600
2012,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,600
2011,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,600
2009,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,800
2008,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,800
2007,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,"1,000"
2006,KENTUCKY,WHITLEY,CORN,CORN - ACRES PLANTED,800
2015,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"128,500"
2014,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"132,000"
2013,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"134,000"
2012,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"146,500"
2011,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"150,000"
2010,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"147,000"
2009,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"159,000"
2008,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"163,000"
2007,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"172,000"
2006,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"147,000"
2005,ILLINOIS,WOODFORD,CORN,CORN - ACRES PLANTED,"150,000"
2015,ILLINOIS,WOODFORD,OATS,OATS - ACRES PLANTED,600
2011,ILLINOIS,WOODFORD,OATS,OATS - ACRES PLANTED,500
2016,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2015,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,200"
2014,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,600"
2013,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,800"
2012,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,900"
2011,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,400"
2010,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2009,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,100"
2007,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,800"
2006,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,000"
2005,ILLINOIS,WOODFORD,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,400"
